撿,ㄐㄧㄢˇ,to pick up / to collect / to gather,
剪刀,ㄐㄧㄢˇ ㄉㄠ,scissors,把
檢驗,ㄐㄧㄢˇ ㄧㄢˋ,to inspect / to examine / to test,
建,ㄐㄧㄢˋ,to establish / to found / to set up / to build / to construct,
建國,ㄐㄧㄢˋ ㄍㄨㄛˊ,to found a country / nation-building / the foundation of PRC by Mao Zedong in 1949,
建築,ㄐㄧㄢˋ ㄓㄨˊ,to construct / building,個
建築,ㄐㄧㄢˋ ㄓㄨˊ,to construct / building,個
箭,ㄐㄧㄢˋ,arrow,支
漸漸,ㄐㄧㄢˋ ㄐㄧㄢˋ,gradually,
間接,ㄐㄧㄢˋ ㄐㄧㄝ,indirect,
鍵盤,ㄐㄧㄢˋ ㄆㄢˊ,keyboard,
健全,ㄐㄧㄢˋ ㄑㄩㄢˊ,robust / sound,
江,ㄐㄧㄤ,river,條 / 道
將,ㄐㄧㄤ,to desire / to invite / to request,
將要,ㄐㄧㄤ ㄧㄠˋ,will / shall / to be going to,
獎金,ㄐㄧㄤˇ ㄐㄧㄣ,premium / award money / bonus,
獎品,ㄐㄧㄤˇ ㄆㄧㄣˇ,award / prize,
降,ㄐㄧㄤˋ,to surrender / to capitulate / to subdue / to tame,
降價,ㄐㄧㄤˋ ㄐㄧㄚˋ,to cut the price / to drive down the price / to get cheaper,
澆,ㄐㄧㄠ,to pour liquid / to irrigate (using waterwheel) / to water / to cast (molten metal) / to mold,
交代,ㄐㄧㄠ ㄉㄞˋ,to hand over / to explain / to make clear / to brief (sb) / to account for / to justify oneself / to confess / (coll.) to finish,
交換,ㄐㄧㄠ ㄏㄨㄢˋ,to exchange / to swap / to switch (telecom) / commutative (math) / to commute,
交際,ㄐㄧㄠ ㄐㄧˋ,communication / social intercourse,
交往,ㄐㄧㄠ ㄨㄤˇ,to associate (with) / to have contact (with) / to hang out (with) / to date / (interpersonal) relationship / association / contact,
交易,ㄐㄧㄠ ㄧˋ,(business) transaction / business deal,筆
交易,ㄐㄧㄠ ㄧˋ,(business) transaction / business deal,筆
郊外,ㄐㄧㄠ ㄨㄞˋ,outskirts,
角,ㄐㄧㄠˇ,role (theater) / to compete / ancient three legged wine vessel / third note of pentatonic scale,
角落,ㄐㄧㄠˇ ㄌㄨㄛˋ,nook / corner,
繳,ㄐㄧㄠˇ,to hand in / to hand over / to seize,
腳步,ㄐㄧㄠˇ ㄅㄨˋ,footstep / step,
較,ㄐㄧㄠˋ,to compare / to dispute / compared to / (before adj.) relatively / comparatively / rather / also pr. [jiao3],
叫喊,ㄐㄧㄠˋ ㄏㄢˇ,exclamation / outcry / shout / yell,
教會,ㄐㄧㄠˋ ㄏㄨㄟˋ,Christian church,
教授,ㄐㄧㄠˋ ㄕㄡˋ,professor / to instruct / to lecture on,個 / 位
教學,ㄐㄧㄠˋ ㄒㄩㄝˊ,to teach / teaching and learning / education,門 / 個
教訓,ㄐㄧㄠˋ ㄒㄩㄣˋ,lesson / moral / to chide sb / to lecture sb,
接,ㄐㄧㄝ,to receive / to answer (the phone) / to meet or welcome sb / to connect / to catch / to join / to extend / to take one's turn on duty / to take over for sb,
接待,ㄐㄧㄝ ㄉㄞˋ,to receive (a visitor) / to admit (allow sb to enter),
接到,ㄐㄧㄝ ㄉㄠˋ,to receive (letter etc),
接見,ㄐㄧㄝ ㄐㄧㄢˋ,to receive sb / to grant an interview,
接近,ㄐㄧㄝ ㄐㄧㄣˋ,to approach / to get close to,
接近,ㄐㄧㄝ ㄐㄧㄣˋ,to approach / to get close to,
街道,ㄐㄧㄝ ㄉㄠˋ,street / subdistrict / residential district,條
街頭,ㄐㄧㄝ ㄊㄡˊ,street,
階段,ㄐㄧㄝ ㄉㄨㄢˋ,stage / section / phase / period,個
節,ㄐㄧㄝˊ,"festival / holiday / node / joint / section / segment / part / to economize / to save / to abridge / moral integrity / classifier for segments, e.g. lessons, train wagons, biblical verses",個
節省,ㄐㄧㄝˊ ㄕㄥˇ,saving / to save / to use sparingly / to cut down on,
節約,ㄐㄧㄝˊ ㄩㄝ,to economize / to conserve (resources) / economy / frugal,
結,ㄐㄧㄝˊ,knot / sturdy / bond / to tie / to bind / to check out (of a hotel),
結構,ㄐㄧㄝˊ ㄍㄡˋ,structure / composition / makeup / architecture,座 / 個
結果,ㄐㄧㄝˊ ㄍㄨㄛˇ,outcome / result / conclusion / in the end / as a result / to kill / to dispatch,
結果,ㄐㄧㄝˊ ㄍㄨㄛˇ,outcome / result / conclusion / in the end / as a result / to kill / to dispatch,
結合,ㄐㄧㄝˊ ㄏㄜˊ,to combine / to link / to integrate / binding,次
結論,ㄐㄧㄝˊ ㄌㄨㄣˋ,conclusion / verdict / to conclude / to reach a verdict,個
結算,ㄐㄧㄝˊ ㄙㄨㄢˋ,to settle a bill / to close an account,
結帳,ㄐㄧㄝˊ ㄓㄤˋ,to pay the bill / to settle accounts / also written 結賬账,
截止,ㄐㄧㄝˊ ㄓˇ,to close / to stop / to put a stop to sth / cut-off point / stopping point / deadline,
解,ㄐㄧㄝˇ,acrobatic display (esp. on horseback) (old) / variant of 懈[xie4] and 邂[xie4] (old),
解除,ㄐㄧㄝˇ ㄔㄨˊ,to remove / to sack / to get rid of / to relieve (sb of their duties) / to free / to lift (an embargo) / to rescind (an agreement),
解答,ㄐㄧㄝˇ ㄉㄚˊ,answer / explanation / solution (to a math equation),
屆,ㄐㄧㄝˋ,"to arrive at (place or time) / period / to become due / classifier for events, meetings, elections, sporting fixtures, years (of graduation)",
界線,ㄐㄧㄝˋ ㄒㄧㄢˋ,limits / bounds / dividing line,
戒指,ㄐㄧㄝˋ ㄓˇ,(finger) ring,
今後,ㄐㄧㄣ ㄏㄡˋ,hereafter / henceforth / in the future / from now on,
金額,ㄐㄧㄣ ㄜˊ,sum of money / monetary value,
金融,ㄐㄧㄣ ㄖㄨㄥˊ,banking / finance / financial,
金屬,ㄐㄧㄣ ㄕㄨˇ,metal,種
儘管,ㄐㄧㄣˇ ㄍㄨㄢˇ,"despite / although / even though / in spite of / unhesitatingly / do not hesitate (to ask, complain etc) / (go ahead and do it) without hesitating",
儘量,ㄐㄧㄣˇ ㄌㄧㄤˋ,as much as possible / to the greatest extent,
緊急,ㄐㄧㄣˇ ㄐㄧˊ,urgent / emergency,
僅僅,ㄐㄧㄣˇ ㄐㄧㄣˇ,barely / only / merely / only (this and nothing more),
近,ㄐㄧㄣˋ,near / close to / approximately,
近來,ㄐㄧㄣˋ ㄌㄞˊ,recently / lately,
近視,ㄐㄧㄣˋ ㄕˋ,shortsighted / nearsighted / myopia,
盡力,ㄐㄧㄣˋ ㄌㄧˋ,to strive one's hardest / to spare no effort,
進入,ㄐㄧㄣˋ ㄖㄨˋ,to enter / to join / to go into,
進口,ㄐㄧㄣˋ ㄎㄡˇ,"to import / imported / entrance / inlet (for the intake of air, water etc)",
禁止,ㄐㄧㄣˋ ㄓˇ,to prohibit / to forbid / to ban,
浸,ㄐㄧㄣˋ,to immerse / to soak / to steep / gradually,
精彩,ㄐㄧㄥ ㄘㄞˇ,wonderful / marvelous / brilliant,
精力,ㄐㄧㄥ ㄌㄧˋ,energy,
精細,ㄐㄧㄥ ㄒㄧˋ,fine / meticulous / careful,
經濟,ㄐㄧㄥ ㄐㄧˋ,economy / economic,
經歷,ㄐㄧㄥ ㄌㄧˋ,experience / to experience / to go through,個 / 次
經歷,ㄐㄧㄥ ㄌㄧˋ,experience / to experience / to go through,個 / 次
經營,ㄐㄧㄥ ㄧㄥˊ,to engage in (business etc) / to run / to operate,
京劇,ㄐㄧㄥ ㄐㄩˋ,Beijing opera,場 / 齣
驚人,ㄐㄧㄥ ㄖㄣˊ,astonishing,
警告,ㄐㄧㄥˇ ㄍㄠˋ,to warn / to admonish,
警告,ㄐㄧㄥˇ ㄍㄠˋ,to warn / to admonish,
景色,ㄐㄧㄥˇ ㄙㄜˋ,scenery / scene / landscape / view,
靜,ㄐㄧㄥˋ,still / calm / quiet / not moving,
鏡,ㄐㄧㄥˋ,mirror / lens,
鏡子,ㄐㄧㄥˋ ㄗ˙,mirror,面 / 個
敬愛,ㄐㄧㄥˋ ㄞˋ,respect and love,
敬酒,ㄐㄧㄥˋ ㄐㄧㄡˇ,to toast / to propose a toast,
敬禮,ㄐㄧㄥˋ ㄌㄧˇ,to salute / salute,
淨化,ㄐㄧㄥˋ ㄏㄨㄚˋ,to purify,
竟然,ㄐㄧㄥˋ ㄖㄢˊ,unexpectedly / to one's surprise / in spite of everything / in that crazy way / actually / to go as far as to,
競爭,ㄐㄧㄥˋ ㄓㄥ,to compete / competition,
糾正,ㄐㄧㄡ ㄓㄥˋ,to correct / to make right,
酒會,ㄐㄧㄡˇ ㄏㄨㄟˋ,drinking party / wine reception,
就,ㄐㄧㄡˋ,at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning,
就是,ㄐㄧㄡˋ ㄕˋ,(emphasizes that sth is precisely or exactly as stated) / precisely / exactly / even / if / just like / in the same way as,
就是說,ㄐㄧㄡˋ ㄕˋ ㄕㄨㄛ,in other words / that is,
就業,ㄐㄧㄡˋ ㄧㄝˋ,to get a job / employment,
救火,ㄐㄧㄡˋ ㄏㄨㄛˇ,to put out a fire / firefighting,
究竟,ㄐㄧㄡˋ ㄐㄧㄥˋ,to go to the bottom of a matter / after all / when all is said and done / (in an interrogative sentence) finally / outcome / result,
居民,ㄐㄩ ㄇㄧㄣˊ,resident / inhabitant,
居然,ㄐㄩ ㄖㄢˊ,unexpectedly / to one's surprise / go so far as to,
局,ㄐㄩˊ,"office / situation / classifier for games: match, set, round etc",
鞠躬,ㄐㄩˊ ㄍㄨㄥ,to bow / (literary) to bend down,
巨大,ㄐㄩˋ ㄉㄚˋ,huge / immense / very large / tremendous / gigantic / enormous,
具,ㄐㄩˋ,"tool / device / utensil / equipment / instrument / talent / ability / to possess / to have / to provide / to furnish / to state / classifier for devices, coffins, dead bodies",
具,ㄐㄩˋ,"tool / device / utensil / equipment / instrument / talent / ability / to possess / to have / to provide / to furnish / to state / classifier for devices, coffins, dead bodies",
具備,ㄐㄩˋ ㄅㄟˋ,to possess / to have / equipped with / able to fulfill (conditions or requirements),
具體,ㄐㄩˋ ㄊㄧˇ,concrete / definite / specific,
俱樂部,ㄐㄩˋ ㄌㄜˋ ㄅㄨˋ,club (the organisation or its premises) (loanword),個
聚集,ㄐㄩˋ ㄐㄧˊ,to assemble / to gather,
距離,ㄐㄩˋ ㄌㄧˊ,distance / to be apart from,個
劇場,ㄐㄩˋ ㄔㄤˇ,theater,個
劇烈,ㄐㄩˋ ㄌㄧㄝˋ,violent / acute / severe / fierce,
劇院,ㄐㄩˋ ㄩㄢˋ,theater,家 / 座
據說,ㄐㄩˋ ㄕㄨㄛ,it is said that / reportedly,
捐,ㄐㄩㄢ,to contribute / to donate / contribution / tax / to abandon,
捐款,ㄐㄩㄢ ㄎㄨㄢˇ,to donate money / to contribute funds / donation / contribution (of money),
捐款,ㄐㄩㄢ ㄎㄨㄢˇ,to donate money / to contribute funds / donation / contribution (of money),
卷,ㄐㄩㄢˇ,"scroll / book / volume / chapter / examination paper / classifier for books, paintings: volume, scroll",
捲,ㄐㄩㄢˇ,to roll (up) / to sweep up / to carry on / roll,
決,ㄐㄩㄝˊ,to decide / to determine / to execute (sb) / (of a dam etc) to breach or burst / definitely / certainly,
絕,ㄐㄩㄝˊ,to cut short / extinct / to disappear / to vanish / absolutely / by no means,
決心,ㄐㄩㄝˊ ㄒㄧㄣ,determination / resolution / determined / firm and resolute / to make up one's mind,個
決心,ㄐㄩㄝˊ ㄒㄧㄣ,determination / resolution / determined / firm and resolute / to make up one's mind,個
絕不,ㄐㄩㄝˊ ㄅㄨˋ,in no way / not in the least / absolutely not,
絕大部分,ㄐㄩㄝˊ ㄉㄚˋ ㄅㄨˋ ㄈㄣˋ,overwhelming majority,
絕對,ㄐㄩㄝˊ ㄉㄨㄟˋ,absolute / unconditional,
覺悟,ㄐㄩㄝˊ ㄨˋ,to come to understand / to realize / consciousness / awareness / Buddhist enlightenment (Sanskrit: cittotpāda),
軍,ㄐㄩㄣ,army / military / arms,個
軍事,ㄐㄩㄣ ㄕˋ,military affairs / military matters / military,
卡,ㄎㄚˇ,to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3],
卡,ㄎㄚˇ,to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3],
卡通,ㄎㄚˇ ㄊㄨㄥ,cartoon (loanword),
開,ㄎㄞ,"to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文尔文[Kai1 er3 wen2] / abbr. for 開本本[kai1 ben3], book format",
開除,ㄎㄞ ㄔㄨˊ,to expel (a member of an organization) / to fire (an employee),
開刀,ㄎㄞ ㄉㄠ,(of a surgeon) to perform an operation / (of a patient) to have an operation / to decapitate / to behead / to single out as a point of attack,
開發,ㄎㄞ ㄈㄚ,to exploit (a resource) / to open up (for development) / to develop,
開戶,ㄎㄞ ㄏㄨˋ,to open an account (bank etc),
開課,ㄎㄞ ㄎㄜˋ,school begins / give a course / teach a subject,
開明,ㄎㄞ ㄇㄧㄥˊ,enlightened / open-minded / enlightenment,
開設,ㄎㄞ ㄕㄜˋ,to offer (goods or services) / to open (for business etc),
開拓,ㄎㄞ ㄊㄨㄛˋ,to break new ground (for agriculture) / to open up (a new seam) / to develop (border regions) / fig. to open up (new horizons),
開演,ㄎㄞ ㄧㄢˇ,"(of a play, movie etc) to begin",
看家,ㄎㄢ ㄐㄧㄚ,"to look after the house / (of skill, ability) special / outstanding",
砍,ㄎㄢˇ,to chop / to cut down / to throw sth at sb,
看,ㄎㄢˋ,to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger),
看得起,ㄎㄢˋ ㄉㄜ˙ ㄑㄧˇ,to show respect for / to think highly of,
看看,ㄎㄢˋ ㄎㄢ˙,to take a look at / to examine / to survey / (coll.) pretty soon,
看來,ㄎㄢˋ ㄌㄞˊ,apparently / it seems that,
看樣子,ㄎㄢˋ ㄧㄤˋ ㄗ˙,it seems / it looks as if,
抗議,ㄎㄤˋ ㄧˋ,to protest / protest,
考察,ㄎㄠˇ ㄔㄚˊ,to inspect / to observe and study / on-the-spot investigation,
考卷,ㄎㄠˇ ㄐㄩㄢˋ,exam paper,
考慮,ㄎㄠˇ ㄌㄩˋ,to think over / to consider / consideration,
考取,ㄎㄠˇ ㄑㄩˇ,to pass an entrance exam / to be admitted to,
靠,ㄎㄠˋ,to lean against or on / to stand by the side of / to come near to / to depend on / to trust / to fuck (vulgar) / traditional military costume drama where the performers wear armor (old),
靠近,ㄎㄠˋ ㄐㄧㄣˋ,near / to approach,
科目,ㄎㄜ ㄇㄨˋ,subject,
顆,ㄎㄜ,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",
可是,ㄎㄜˇ ㄕˋ,but / however / (used for emphasis) indeed,
可喜,ㄎㄜˇ ㄒㄧˇ,making one happy / gratifying / heartening,
可笑,ㄎㄜˇ ㄒㄧㄠˋ,funny / ridiculous,
客房,ㄎㄜˋ ㄈㄤˊ,guest room,
客觀,ㄎㄜˋ ㄍㄨㄢ,objective / impartial,
客戶,ㄎㄜˋ ㄏㄨˋ,client / customer,
課外,ㄎㄜˋ ㄨㄞˋ,extracurricular,
空,ㄎㄨㄥ,to empty / vacant / unoccupied / space / leisure / free time,
空前,ㄎㄨㄥ ㄑㄧㄢˊ,unprecedented,
空中,ㄎㄨㄥ ㄓㄨㄥ,in the sky / in the air,
恐怖,ㄎㄨㄥˇ ㄅㄨˋ,terrible / frightful / frightening / terror / terrorist,
空,ㄎㄨㄥˋ,to empty / vacant / unoccupied / space / leisure / free time,
空兒,ㄎㄨㄥˋ ㄦ,spare time / free time,
控制,ㄎㄨㄥˋ ㄓˋ,control / to exercise control over / to contain,
口,ㄎㄡˇ,"mouth / classifier for things with mouths (people, domestic animals, cannons, wells etc) / classifier for bites or mouthfuls",
口才,ㄎㄡˇ ㄘㄞˊ,eloquence,
口號,ㄎㄡˇ ㄏㄠˋ,slogan / catchphrase,個
口紅,ㄎㄡˇ ㄏㄨㄥˊ,lipstick,
口氣,ㄎㄡˇ ㄑㄧˋ,tone of voice / the way one speaks / manner of expression / tone,
口試,ㄎㄡˇ ㄕˋ,oral examination / oral test,
口試,ㄎㄡˇ ㄕˋ,oral examination / oral test,
口水,ㄎㄡˇ ㄕㄨㄟˇ,saliva,
口音,ㄎㄡˇ ㄧㄣ,voice / accent,
口語,ㄎㄡˇ ㄩˇ,colloquial speech / spoken language / vernacular language / slander / gossip,門
扣,ㄎㄡˋ,"to fasten / to button / button / buckle / knot / to arrest / to confiscate / to deduct (money) / discount / to knock / to smash, spike or dunk (a ball) / to cover (with a bowl etc) / (fig.) to tag a label on sb / (Tw) (loanword) code",
誇獎,ㄎㄨㄚ ㄐㄧㄤˇ,to praise / to applaud / to compliment,
跨,ㄎㄨㄚˋ,to step across / to stride over / to straddle / to span,
會計,ㄎㄨㄞˋ ㄐㄧˋ,accountant / accountancy / accounting,
寬度,ㄎㄨㄢ ㄉㄨˋ,width,
喇叭,ㄌㄚˇ ㄅㄚ,horn (automobile etc) / loudspeaker / brass wind instrument / trumpet / suona 鎖吶呐[suo3 na4],
蠟燭,ㄌㄚˋ ㄓㄨˊ,candle,根 / 支
辣椒,ㄌㄚˋ ㄐㄧㄠ,hot pepper / chili,
來,ㄌㄞˊ,to come / to arrive / to come round / ever since / next,
來回,ㄌㄞˊ ㄏㄨㄟˊ,to make a round trip / return journey / back and forth / to and fro / repeatedly,
來臨,ㄌㄞˊ ㄌㄧㄣˊ,to approach / to come closer,
來往,ㄌㄞˊ ㄨㄤˇ,to come and go / to have dealings with / to be in relation with,
來信,ㄌㄞˊ ㄒㄧㄣˋ,incoming letter / send a letter here,
來源,ㄌㄞˊ ㄩㄢˊ,source (of information etc) / origin,
來自,ㄌㄞˊ ㄗˋ,to come from (a place) / From: (in email header),
籃子,ㄌㄢˊ ㄗ˙,basket,隻
懶,ㄌㄢˇ,lazy,
懶得,ㄌㄢˇ ㄉㄜ˙,not to feel like (doing sth) / disinclined to,
爛,ㄌㄢˋ,soft / mushy / well-cooked and soft / to rot / to decompose / rotten / worn out / chaotic / messy / utterly / thoroughly / crappy / bad,
濫用,ㄌㄢˋ ㄩㄥˋ,to misuse / to abuse,
狼,ㄌㄤˊ,wolf,匹 / 隻 / 條
浪,ㄌㄤˋ,wave / breaker / unrestrained / dissipated / to stroll / to ramble,
浪費,ㄌㄤˋ ㄈㄟˋ,to waste / to squander,
撈,ㄌㄠ,to fish up / to dredge up,
牢,ㄌㄠˊ,firm / sturdy / fold (for animals) / sacrifice / prison,
牢騷,ㄌㄠˊ ㄙㄠ,discontent / complaint / to complain,
勞動,ㄌㄠˊ ㄉㄨㄥˋ,work / toil / physical labor,次
勞工,ㄌㄠˊ ㄍㄨㄥ,labor / laborer,
勞力,ㄌㄠˊ ㄌㄧˋ,labor / able-bodied worker / laborer / work force,
嘮叨,ㄌㄠˊ ㄉㄠ,to prattle / to chatter away / to nag / garrulous / nagging,
老,ㄌㄠˇ,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough,
老百姓,ㄌㄠˇ ㄅㄞˇ ㄒㄧㄥˋ,"ordinary people / the ""person in the street""",個
老闆娘,ㄌㄠˇ ㄅㄢˇ ㄋㄧㄤˊ,female proprietor / lady boss / boss's wife,
老板娘,ㄌㄠˇ ㄅㄢˇ ㄋㄧㄤˊ,female proprietor / lady boss / boss's wife,
老大,ㄌㄠˇ ㄉㄚˋ,old age / very / eldest child in a family / leader of a group / boss / captain of a boat / leader of a criminal gang,
老家,ㄌㄠˇ ㄐㄧㄚ,native place / place of origin / home state or region,
老實說,ㄌㄠˇ ㄕˊ ㄕㄨㄛ,"honestly speaking / to be frank, ...",
老太太,ㄌㄠˇ ㄊㄞˋ ㄊㄞ˙,elderly lady (respectful) / esteemed mother,位
樂意,ㄌㄜˋ ㄧˋ,to be willing to do sth / to be ready to do sth / to be happy to do sth / content / satisfied,
類似,ㄌㄟˋ ㄙˋ,similar / analogous,
冷靜,ㄌㄥˇ ㄐㄧㄥˋ,calm / cool-headed,
冷飲,ㄌㄥˇ ㄧㄣˇ,cold drink,
梨,ㄌㄧˊ,pear,個
梨子,ㄌㄧˊ ㄗ˙,pear,個
理,ㄌㄧˇ,texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up,
理,ㄌㄧˇ,texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up,
理由,ㄌㄧˇ ㄧㄡˊ,reason / grounds / justification,個
裡頭,ㄌㄧˇ ㄊㄡˊ,inside / interior,
裏頭,ㄌㄧˇ ㄊㄡˊ,inside / interior,
禮,ㄌㄧˇ,gift / rite / ceremony / propriety / etiquette / courtesy,份
禮品,ㄌㄧˇ ㄆㄧㄣˇ,gift / present,
力氣,ㄌㄧˋ ㄑㄧˋ,strength,把
立,ㄌㄧˋ,to stand / to set up / to establish / to lay down / to draw up / at once / immediately,
立場,ㄌㄧˋ ㄔㄤˇ,position / standpoint,個
立即,ㄌㄧˋ ㄐㄧˊ,immediately,
利,ㄌㄧˋ,sharp / favorable / advantage / benefit / profit / interest / to do good to / to benefit,
利潤,ㄌㄧˋ ㄖㄨㄣˋ,profits,
利息,ㄌㄧˋ ㄒㄧˊ,interest (on a loan),筆
例外,ㄌㄧˋ ㄨㄞˋ,exception / to be an exception,
粒,ㄌㄧˋ,"grain / granule / classifier for small round things (peas, bullets, peanuts, pills, grains etc)",
聯合,ㄌㄧㄢˊ ㄏㄜˊ,to combine / to join / unite / alliance,
聯合國,ㄌㄧㄢˊ ㄏㄜˊ ㄍㄨㄛˊ,United Nations,
連,ㄌㄧㄢˊ,"to link / to join / to connect / continuously / in succession / including / (used with 也[ye3], 都[dou1] etc) even / company (military)",
連接,ㄌㄧㄢˊ ㄐㄧㄝ,to link / to join / to attach / connection / a link (on web page),
連忙,ㄌㄧㄢˊ ㄇㄤˊ,promptly / at once,
連續,ㄌㄧㄢˊ ㄒㄩˋ,continuous / in a row / serial / consecutive,
臉色,ㄌㄧㄢˇ ㄙㄜˋ,complexion / look,
量,ㄌㄧㄤˊ,"capacity / quantity / amount / to estimate / abbr. for 量詞词[liang4 ci2], classifier (in Chinese grammar) / measure word",
糧食,ㄌㄧㄤˊ ㄕˊ,foodstuff / cereals,種
倆,ㄌㄧㄤˇ,two (colloquial equivalent of 兩個个) / both / some,
亮,ㄌㄧㄤˋ,bright / clear / resonant / to shine / to show / to reveal,
諒解,ㄌㄧㄤˋ ㄐㄧㄝˇ,to understand / to make allowances for / understanding,
了,ㄌㄧㄠˇ,to finish / to achieve / variant of 瞭[liao3] / to understand clearly,
列,ㄌㄧㄝˋ,to arrange / to line up / file / series / (in data tables) column / (Tw) row,
裂,ㄌㄧㄝˋ,to split / to crack / to break open / to rend,
